,p2psockets,p2psockets-core,1.1.2,2005-09-20 05:50     28926,,https://repo1.maven.org/maven2/p2psockets/p2psockets-core/1.1.2/p2psockets-core-1.1.2.jar
,p6spy,p6spy,2.1.1,2014-09-03 03:45   1183085,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.1/p6spy-2.1.1-logback-nodep.jar
,p6spy,p6spy,2.1.1,2014-09-03 03:45   1317256,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.1/p6spy-2.1.1-log4j2-nodep.jar
,p6spy,p6spy,2.1.1,2014-09-03 03:45    980351,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.1/p6spy-2.1.1-log4j-nodep.jar
,p6spy,p6spy,2.1.0,2014-06-15 18:19    466435,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.0/p6spy-2.1.0.jar
,p6spy,p6spy,2.1.0,2014-06-15 18:19   1182124,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.0/p6spy-2.1.0-logback-nodep.jar
,p6spy,p6spy,2.1.0,2014-06-15 18:19   1316295,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.0/p6spy-2.1.0-log4j2-nodep.jar
,p6spy,p6spy,2.1.0,2014-06-15 18:19    979390,,https://repo1.maven.org/maven2/p6spy/p6spy/2.1.0/p6spy-2.1.0-log4j-nodep.jar
,p6spy,p6spy,2.0.2,2014-04-04 02:25    468519,,https://repo1.maven.org/maven2/p6spy/p6spy/2.0.2/p6spy-2.0.2.jar
,p6spy,p6spy,2.0.1,2014-03-14 23:59    465513,,https://repo1.maven.org/maven2/p6spy/p6spy/2.0.1/p6spy-2.0.1.jar
,p6spy,p6spy,2.0.0,2014-03-04 06:04    464354,,https://repo1.maven.org/maven2/p6spy/p6spy/2.0.0/p6spy-2.0.0.jar
,p6spy,p6spy,2.0-alpha-1,2014-03-27 18:33    464145,,https://repo1.maven.org/maven2/p6spy/p6spy/2.0-alpha-1/p6spy-2.0-alpha-1.jar
,p6spy,p6spy,1.3,2005-09-20 05:50    106577,,https://repo1.maven.org/maven2/p6spy/p6spy/1.3/p6spy-1.3.jar
,p6spy,p6spy,1.1,2005-09-20 05:50     99461,,https://repo1.maven.org/maven2/p6spy/p6spy/1.1/p6spy-1.1.jar
,p6spy,p6spy,1.0-beta,2005-09-20 05:50    135407,,https://repo1.maven.org/maven2/p6spy/p6spy/1.0-beta/p6spy-1.0-beta.jar
,p6spy,p6spy,0.8,2005-09-20 05:50     57805,,https://repo1.maven.org/maven2/p6spy/p6spy/0.8/p6spy-0.8.jar
,page.foliage,foliage-guice,4.1.0,2023-02-14 09:29    459234,,https://repo1.maven.org/maven2/page/foliage/foliage-guice/4.1.0/foliage-guice-4.1.0.jar
,page.foliage,foliage-guava,24.1.1,2023-02-14 09:23   2786044,,https://repo1.maven.org/maven2/page/foliage/foliage-guava/24.1.1/foliage-guava-24.1.1.jar
