,acegisecurity,acegi-security,0.7.1,2005-09-25 04:01    287437,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.7.1/acegi-security-0.7.1.jar
,acegisecurity,acegi-security,0.7.0,2005-09-20 05:44    287341,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.7.0/acegi-security-0.7.0.jar
,acegisecurity,acegi-security,0.6.1,2005-09-20 05:44    242613,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.6.1/acegi-security-0.6.1.jar
,acegisecurity,acegi-security,0.51,2005-09-20 05:44    176954,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.51/acegi-security-0.51.jar
,acegisecurity,acegi-security,0.5,2005-09-20 05:44    168502,,https://repo1.maven.org/maven2/acegisecurity/acegi-security/0.5/acegi-security-0.5.jar
,activecluster,activecluster,4.0.2,2011-07-29 13:08     39257,,https://repo1.maven.org/maven2/activecluster/activecluster/4.0.2/activecluster-4.0.2.jar
,activecluster,activecluster,20040423.075722,2005-09-20 05:44     15254,,https://repo1.maven.org/maven2/activecluster/activecluster/20040423.075722/activecluster-20040423.075722.jar
,activecluster,activecluster,20040408.185106,2005-09-20 05:44     15254,,https://repo1.maven.org/maven2/activecluster/activecluster/20040408.185106/activecluster-20040408.185106.jar
,activecluster,activecluster,1.1-20050524.034300,2005-11-09 00:06     32539,,https://repo1.maven.org/maven2/activecluster/activecluster/1.1-20050524.034300/activecluster-1.1-20050524.034300.jar
,activeio,activeio,2.1,2005-11-07 21:31    246575,,https://repo1.maven.org/maven2/activeio/activeio/2.1/activeio-2.1.jar
,activeio,activeio,2.0-r118,2006-01-31 20:50    239185,,https://repo1.maven.org/maven2/activeio/activeio/2.0-r118/activeio-2.0-r118.jar
,activeio,activeio,2.0-20050905,2005-09-20 05:44    236783,,https://repo1.maven.org/maven2/activeio/activeio/2.0-20050905/activeio-2.0-20050905.jar
,activeio,activeio,2.0,2005-11-22 02:00    239185,,https://repo1.maven.org/maven2/activeio/activeio/2.0/activeio-2.0-r118.jar
,activeio,activeio,1.1,2005-09-20 05:44    187357,,https://repo1.maven.org/maven2/activeio/activeio/1.1/activeio-1.1.jar
,activeio,activeio,1.0,2005-09-20 05:44    187397,,https://repo1.maven.org/maven2/activeio/activeio/1.0/activeio-1.0.jar
,activemq,xsdlib,20050407,2005-09-20 05:44    142212,,https://repo1.maven.org/maven2/activemq/xsdlib/20050407/xsdlib-20050407.jar
,activemq,smackx,1.5.0,2005-09-20 05:44    120538,,https://repo1.maven.org/maven2/activemq/smackx/1.5.0/smackx-1.5.0.jar
,activemq,smackx,1.4.1,2005-09-20 05:44    161962,,https://repo1.maven.org/maven2/activemq/smackx/1.4.1/smackx-1.4.1.jar
,activemq,smack,1.5.0,2005-09-20 05:44    139227,,https://repo1.maven.org/maven2/activemq/smack/1.5.0/smack-1.5.0.jar
,activemq,smack,1.4.1,2005-09-20 05:44    146829,,https://repo1.maven.org/maven2/activemq/smack/1.4.1/smack-1.4.1.jar
,activemq,relaxngDatatype,20050407,2005-09-20 05:44     19255,,https://repo1.maven.org/maven2/activemq/relaxngDatatype/20050407/relaxngDatatype-20050407.jar
,activemq,jmdns,1.0-RC2,2005-10-03 20:03     82640,,https://repo1.maven.org/maven2/activemq/jmdns/1.0-RC2/jmdns-1.0-RC2.jar
,activemq,jaxb-xjc,20050407,2005-09-20 05:44   2874044,,https://repo1.maven.org/maven2/activemq/jaxb-xjc/20050407/jaxb-xjc-20050407.jar
,activemq,jaxb-impl,20050407,2005-09-20 05:44    568314,,https://repo1.maven.org/maven2/activemq/jaxb-impl/20050407/jaxb-impl-20050407.jar
,activemq,jaxb-api,20050407,2005-09-20 05:44     58575,,https://repo1.maven.org/maven2/activemq/jaxb-api/20050407/jaxb-api-20050407.jar
,activemq,activemq-ws-xmltypes,dev-1,2005-09-20 05:44   1175200,,https://repo1.maven.org/maven2/activemq/activemq-ws-xmltypes/dev-1/activemq-ws-xmltypes-dev-1.jar
,activemq,activemq-ws,3.1-M2,2005-09-20 05:44   1449184,,https://repo1.maven.org/maven2/activemq/activemq-ws/3.1-M2/activemq-ws-3.1-M2.jar
,activemq,activemq-ws,3.1-M1,2005-09-20 05:44   1449238,,https://repo1.maven.org/maven2/activemq/activemq-ws/3.1-M1/activemq-ws-3.1-M1.jar
,activemq,activemq-ws,3.0,2005-09-20 05:44    909797,,https://repo1.maven.org/maven2/activemq/activemq-ws/3.0/activemq-ws-3.0.jar
,activemq,activemq-web,4.0-M3,2005-12-09 21:31     19106,,https://repo1.maven.org/maven2/activemq/activemq-web/4.0-M3/activemq-web-4.0-M3.jar
,activemq,activemq-web,4.0-M2,2005-11-22 02:01     19106,,https://repo1.maven.org/maven2/activemq/activemq-web/4.0-M2/activemq-web-4.0-M2.jar
,activemq,activemq-web,4.0-M1,2005-10-28 20:00     17343,,https://repo1.maven.org/maven2/activemq/activemq-web/4.0-M1/activemq-web-4.0-M1.jar
,activemq,activemq-web,3.2.4,2006-07-18 02:00     19014,,https://repo1.maven.org/maven2/activemq/activemq-web/3.2.4/activemq-web-3.2.4.jar
,activemq,activemq-web,3.2.3,2006-03-08 05:31     19165,,https://repo1.maven.org/maven2/activemq/activemq-web/3.2.3/activemq-web-3.2.3.jar
,activemq,activemq-web,3.2.2,2006-02-02 21:31     19141,,https://repo1.maven.org/maven2/activemq/activemq-web/3.2.2/activemq-web-3.2.2.jar
,activemq,activemq-web,3.2.1,2005-11-23 21:34     19165,,https://repo1.maven.org/maven2/activemq/activemq-web/3.2.1/activemq-web-3.2.1.jar
,activemq,activemq-web,3.2-M1,2005-09-29 00:02     19142,,https://repo1.maven.org/maven2/activemq/activemq-web/3.2-M1/activemq-web-3.2-M1.jar
,activemq,activemq-web,3.2,2005-10-26 06:02     19164,,https://repo1.maven.org/maven2/activemq/activemq-web/3.2/activemq-web-3.2.jar
,activemq,activemq-web,3.1-M6,2005-09-20 05:44     18058,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1-M6/activemq-web-3.1-M6.jar
,activemq,activemq-web,3.1-M5,2005-09-20 05:44     18058,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1-M5/activemq-web-3.1-M5.jar
,activemq,activemq-web,3.1-M4,2005-09-20 05:44     18058,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1-M4/activemq-web-3.1-M4.jar
,activemq,activemq-web,3.1-M3,2005-09-20 05:44     18057,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1-M3/activemq-web-3.1-M3.jar
,activemq,activemq-web,3.1-M2,2005-09-20 05:44     16643,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1-M2/activemq-web-3.1-M2.jar
,activemq,activemq-web,3.1-M1,2005-09-20 05:44     16612,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1-M1/activemq-web-3.1-M1.jar
,activemq,activemq-web,3.1,2005-09-20 05:44     18056,,https://repo1.maven.org/maven2/activemq/activemq-web/3.1/activemq-web-3.1.jar
,activemq,activemq-web,1.3,2005-09-20 05:44     15394,,https://repo1.maven.org/maven2/activemq/activemq-web/1.3/activemq-web-1.3.jar
,activemq,activemq-transport-zeroconf,2.1,2005-09-20 05:44      8132,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/2.1/activemq-transport-zeroconf-2.1.jar
,activemq,activemq-transport-zeroconf,2.0,2005-09-20 05:44      8131,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/2.0/activemq-transport-zeroconf-2.0.jar
,activemq,activemq-transport-zeroconf,1.5,2005-09-20 05:44      8131,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/1.5/activemq-transport-zeroconf-1.5.jar
,activemq,activemq-transport-zeroconf,1.4,2005-09-20 05:44      8131,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/1.4/activemq-transport-zeroconf-1.4.jar
,activemq,activemq-transport-zeroconf,1.3,2005-09-20 05:44      8131,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/1.3/activemq-transport-zeroconf-1.3.jar
,activemq,activemq-transport-zeroconf,1.2,2005-09-20 05:44      8131,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/1.2/activemq-transport-zeroconf-1.2.jar
,activemq,activemq-transport-zeroconf,1.1-G1M3,2005-09-20 05:44      8135,,https://repo1.maven.org/maven2/activemq/activemq-transport-zeroconf/1.1-G1M3/activemq-transport-zeroconf-1.1-G1M3.jar
,activemq,activemq-transport-xstream,2.1,2005-09-20 05:44      2369,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/2.1/activemq-transport-xstream-2.1.jar
,activemq,activemq-transport-xstream,2.0,2005-09-20 05:44      2368,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/2.0/activemq-transport-xstream-2.0.jar
,activemq,activemq-transport-xstream,1.5,2005-09-20 05:44      2370,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/1.5/activemq-transport-xstream-1.5.jar
,activemq,activemq-transport-xstream,1.4,2005-09-20 05:44      2370,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/1.4/activemq-transport-xstream-1.4.jar
,activemq,activemq-transport-xstream,1.3,2005-09-20 05:44      2370,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/1.3/activemq-transport-xstream-1.3.jar
,activemq,activemq-transport-xstream,1.2,2005-09-20 05:44      2370,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/1.2/activemq-transport-xstream-1.2.jar
,activemq,activemq-transport-xstream,1.1-G1M3,2005-09-20 05:44      2374,,https://repo1.maven.org/maven2/activemq/activemq-transport-xstream/1.1-G1M3/activemq-transport-xstream-1.1-G1M3.jar
,activemq,activemq-transport-ssl,2.1,2005-09-20 05:44      3945,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/2.1/activemq-transport-ssl-2.1.jar
,activemq,activemq-transport-ssl,2.0,2005-09-20 05:44      3945,,https://repo1.maven.org/maven2/activemq/activemq-transport-ssl/2.0/activemq-transport-ssl-2.0.jar
